Tm,wins,shutouts,opponent_runs_scored,runs,games
BAL,60,4,466,497,105
BOS,58,4,496,580,105
CHW,51,7,462,424,106
CLE,60,8,430,516,104
DET,58,5,490,514,106
HOU,56,4,433,471,106
KCR,51,4,465,410,106
LAA,48,7,488,490,106
MIN,42,2,551,483,106
NYY,53,5,464,426,106
OAK,47,3,515,432,106
SEA,53,6,461,492,105
TBR,42,5,465,413,105
TEX,62,2,501,506,107
TOR,60,6,440,521,107
ARI,43,5,582,471,107
ATL,37,7,503,363,106
CHC,65,9,367,537,106
CIN,43,3,589,454,105
COL,53,5,531,543,106
LAD,59,9,397,467,106
MIA,57,7,437,453,107
MIL,48,4,483,423,105
NYM,55,9,379,393,106
PHI,49,11,492,393,108
PIT,53,4,477,476,104
SDP,46,6,517,466,107
SFG,61,6,432,481,106
STL,56,6,451,538,106
WSN,63,7,376,507,107
